time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation,idx,location_type,isIndoor
2019-03-29T19:58:58.001Z,32.878309200000004,-117.2423058,0,20.88,0.0,0.0,0,network,,,,,,,,84,,0,building,1
2019-03-29T20:00:00.090Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,84,,1,building,1
2019-03-29T20:01:01.963Z,32.8783159,-117.2423074,0,21.125,0.0,0.0,0,network,,,,,,,,84,,2,building,1
2019-03-29T20:02:02.737Z,32.8783087,-117.2423055,0,21.059,0.0,0.0,0,network,,,,,,,,84,,3,building,1
2019-03-29T20:03:04.274Z,32.8783128,-117.24230690000002,0,21.116,0.0,0.0,0,network,,,,,,,,84,,4,building,1
2019-03-29T20:04:19.531Z,32.8783161,-117.2423084,0,21.122,0.0,0.0,0,network,,,,,,,,84,,5,building,1
2019-03-29T20:05:21.249Z,32.8783087,-117.2423061,0,20.91,0.0,0.0,0,network,,,,,,,,84,,6,building,1
2019-03-29T20:06:22.574Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,84,,7,building,1
2019-03-29T20:08:05.263Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,84,,8,building,1
2019-03-29T20:09:07.458Z,32.8783181,-117.242309,0,21.305999999999997,0.0,0.0,0,network,,,,,,,,84,,9,building,1
2019-03-29T20:10:09.371Z,32.878318699999994,-117.2423092,0,21.059,0.0,0.0,0,network,,,,,,,,84,,10,building,1
2019-03-29T20:11:33.282Z,32.8783175,-117.242306,0,21.104,0.0,0.0,0,network,,,,,,,,84,,11,building,1
2019-03-29T20:12:34.866Z,32.878315,-117.2423075,0,21.075,0.0,0.0,0,network,,,,,,,,84,,12,building,1
2019-03-29T20:13:37.229Z,32.8783145,-117.24230729999998,0,21.309,0.0,0.0,0,network,,,,,,,,84,,13,building,1
2019-03-29T20:14:45.476Z,32.8783129,-117.2423064,0,21.069000000000003,0.0,0.0,0,network,,,,,,,,84,,14,building,1
2019-03-29T20:15:47.309Z,32.8783162,-117.24230659999999,0,21.228,0.0,0.0,0,network,,,,,,,,84,,15,building,1
2019-03-29T20:17:30.355Z,32.8783149,-117.24230790000001,0,21.101,0.0,0.0,0,network,,,,,,,,84,,16,building,1
2019-03-29T20:19:07.157Z,32.8783163,-117.2423074,0,21.263,0.0,0.0,0,network,,,,,,,,83,,17,building,1
2019-03-29T20:20:08.056Z,32.8783147,-117.24230729999998,0,21.324,0.0,0.0,0,network,,,,,,,,83,,18,building,1
2019-03-29T20:21:08.901Z,32.8783107,-117.24230449999999,0,20.893,0.0,0.0,0,network,,,,,,,,83,,19,building,1
2019-03-29T20:22:11.135Z,32.878310600000006,-117.24230459999998,0,20.896,0.0,0.0,0,network,,,,,,,,83,,20,building,1
2019-03-29T20:23:14.647Z,32.8783102,-117.24230530000001,0,21.125999999999998,0.0,0.0,0,network,,,,,,,,83,,21,building,1
2019-03-29T20:24:25.988Z,32.8783107,-117.24230449999999,0,20.893,0.0,0.0,0,network,,,,,,,,83,,22,building,1
2019-03-29T20:26:12.109Z,32.878313399999996,-117.2423067,0,21.090999999999998,0.0,0.0,0,network,,,,,,,,83,,23,building,1
2019-03-29T20:27:46.359Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,83,,24,building,1
2019-03-29T20:28:48.563Z,32.8783091,-117.24230559999998,0,20.912,0.0,0.0,0,network,,,,,,,,83,,25,building,1
2019-03-29T20:29:49.632Z,32.878315,-117.2423074,0,21.1,0.0,0.0,0,network,,,,,,,,83,,26,building,1
2019-03-29T20:30:51.277Z,32.8783193,-117.2423108,0,20.925,0.0,0.0,0,network,,,,,,,,83,,27,building,1
2019-03-29T20:31:52.123Z,32.8783262,-117.24230949999999,0,21.017,0.0,0.0,0,network,,,,,,,,83,,28,building,1
2019-03-29T20:32:53.864Z,32.878318900000004,-117.24230890000001,0,21.154,0.0,0.0,0,network,,,,,,,,83,,29,building,1
2019-03-29T20:34:18.691Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,83,,30,building,1
2019-03-29T20:35:27.324Z,32.8783097,-117.2423055,0,21.133000000000003,0.0,0.0,0,network,,,,,,,,83,,31,building,1
2019-03-29T20:36:29.004Z,32.8783089,-117.2423057,0,20.912,0.0,0.0,0,network,,,,,,,,83,,32,building,1
2019-03-29T20:37:32.089Z,32.8783186,-117.24230890000001,0,21.136999999999997,0.0,0.0,0,network,,,,,,,,83,,33,building,1
2019-03-29T20:38:59.583Z,32.878322,-117.24231129999998,0,20.949,0.0,0.0,0,network,,,,,,,,83,,34,building,1
2019-03-29T20:40:00.884Z,32.8783197,-117.24230890000001,0,21.131999999999998,0.0,0.0,0,network,,,,,,,,83,,35,building,1
2019-03-29T20:41:02.418Z,32.8783239,-117.2423084,0,20.949,0.0,0.0,0,network,,,,,,,,83,,36,building,1
2019-03-29T20:42:04.821Z,32.878309200000004,-117.24230530000001,0,20.896,0.0,0.0,0,network,,,,,,,,83,,37,building,1
2019-03-29T20:43:47.445Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,83,,38,building,1
2019-03-29T20:44:49.668Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,83,,39,building,1
2019-03-29T20:46:29.726Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,83,,40,building,1
2019-03-29T20:47:31.509Z,32.8783143,-117.24230829999999,0,21.224,0.0,0.0,0,network,,,,,,,,83,,41,building,1
2019-03-29T20:48:34.114Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,83,,42,building,1
2019-03-29T20:49:36.115Z,32.8783157,-117.2423082,0,21.308000000000003,0.0,0.0,0,network,,,,,,,,83,,43,building,1
2019-03-29T20:50:39.036Z,32.878318699999994,-117.24230779999999,0,21.266,0.0,0.0,0,network,,,,,,,,83,,44,building,1
2019-03-29T20:52:13.222Z,32.878315,-117.2423068,0,21.098000000000003,0.0,0.0,0,network,,,,,,,,83,,45,building,1
2019-03-29T20:53:58.222Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,83,,46,building,1
2019-03-29T20:55:00.180Z,32.878318199999995,-117.24230759999999,0,21.226999999999997,0.0,0.0,0,network,,,,,,,,83,,47,building,1
2019-03-29T20:56:30.263Z,32.8783169,-117.2423085,0,21.339000000000002,0.0,0.0,0,network,,,,,,,,83,,48,building,1
2019-03-29T20:57:58.737Z,32.8783158,-117.24230829999999,0,21.113000000000003,0.0,0.0,0,network,,,,,,,,83,,49,building,1
2019-03-29T20:59:00.546Z,32.8783149,-117.2423088,0,21.238000000000003,0.0,0.0,0,network,,,,,,,,83,,50,building,1
2019-03-29T21:00:06.705Z,32.8783104,-117.24230459999998,0,20.899,0.0,0.0,0,network,,,,,,,,83,,51,building,1
2019-03-29T21:01:08.471Z,32.8783167,-117.2423084,0,21.342,0.0,0.0,0,network,,,,,,,,83,,52,building,1
2019-03-29T21:02:10.312Z,32.8783087,-117.2423057,0,20.927,0.0,0.0,0,network,,,,,,,,83,,53,building,1
2019-03-29T21:03:12.340Z,32.8783201,-117.24230759999999,0,21.168000000000003,0.0,0.0,0,network,,,,,,,,83,,54,building,1
2019-03-29T21:04:19.127Z,32.878309,-117.2423048,0,21.076999999999998,0.0,0.0,0,network,,,,,,,,83,,55,building,1
2019-03-29T21:05:19.961Z,32.8783159,-117.24230759999999,0,21.268,0.0,0.0,0,network,,,,,,,,83,,56,building,1
2019-03-29T21:06:31.504Z,32.8783095,-117.2423055,0,21.14,0.0,0.0,0,network,,,,,,,,83,,57,building,1
2019-03-29T21:07:33.636Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,83,,58,building,1
2019-03-29T21:08:58.530Z,32.878318900000004,-117.2423084,0,21.145,0.0,0.0,0,network,,,,,,,,83,,59,building,1
2019-03-29T21:10:00.189Z,32.878316399999996,-117.2423074,0,21.108,0.0,0.0,0,network,,,,,,,,82,,60,building,1
2019-03-29T21:11:02.213Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,82,,61,building,1
2019-03-29T21:12:47.563Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,82,,62,building,1
2019-03-29T21:14:06.369Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,82,,63,building,1
2019-03-29T21:15:07.490Z,32.8783146,-117.2423064,0,21.254,0.0,0.0,0,network,,,,,,,,82,,64,building,1
2019-03-29T21:16:44.301Z,32.87831,-117.2423047,0,20.93,0.0,0.0,0,network,,,,,,,,82,,65,building,1
2019-03-29T21:17:45.734Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,82,,66,building,1
2019-03-29T21:19:18.111Z,32.8783179,-117.24230759999999,0,21.112,0.0,0.0,0,network,,,,,,,,82,,67,building,1
2019-03-29T21:20:18.932Z,32.878319399999995,-117.2423071,0,20.879,0.0,0.0,0,network,,,,,,,,82,,68,building,1
2019-03-29T21:21:20.718Z,32.878310600000006,-117.24230449999999,0,20.889,0.0,0.0,0,network,,,,,,,,82,,69,building,1
2019-03-29T21:22:22.421Z,32.8783152,-117.2423072,0,21.234,0.0,0.0,0,network,,,,,,,,82,,70,building,1
2019-03-29T21:23:57.409Z,32.8783168,-117.24230779999999,0,21.12,0.0,0.0,0,network,,,,,,,,82,,71,building,1
2019-03-29T21:25:20.773Z,32.8783193,-117.2423065,0,21.098000000000003,0.0,0.0,0,network,,,,,,,,82,,72,building,1
2019-03-29T21:26:44.315Z,32.878318699999994,-117.24230829999999,0,21.129,0.0,0.0,0,network,,,,,,,,82,,73,building,1
2019-03-29T21:27:46.621Z,32.8783195,-117.2423082,0,21.252,0.0,0.0,0,network,,,,,,,,82,,74,building,1
2019-03-29T21:29:12.705Z,32.8783175,-117.24230759999999,0,21.241,0.0,0.0,0,network,,,,,,,,82,,75,building,1
2019-03-29T21:30:15.198Z,32.878309,-117.2423061,0,21.131999999999998,0.0,0.0,0,network,,,,,,,,82,,76,building,1
2019-03-29T21:31:28.660Z,32.8783095,-117.2423055,0,21.14,0.0,0.0,0,network,,,,,,,,82,,77,building,1
2019-03-29T21:32:31.026Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,82,,78,building,1
2019-03-29T21:33:32.440Z,32.878308000000004,-117.24230759999999,0,20.921,0.0,0.0,0,network,,,,,,,,82,,79,building,1
2019-03-29T21:34:34.095Z,32.8783102,-117.24230449999999,0,20.905,0.0,0.0,0,network,,,,,,,,82,,80,building,1
2019-03-29T21:35:36.138Z,32.8783153,-117.2423082,0,21.323,0.0,0.0,0,network,,,,,,,,82,,81,building,1
2019-03-29T21:36:44.356Z,32.87831,-117.2423054,0,21.116999999999997,0.0,0.0,0,network,,,,,,,,82,,82,building,1
2019-03-29T21:37:46.139Z,32.8783148,-117.2423071,0,21.26,0.0,0.0,0,network,,,,,,,,82,,83,building,1
2019-03-29T21:39:15.817Z,32.8783138,-117.24230800000001,0,21.226,0.0,0.0,0,network,,,,,,,,82,,84,building,1
2019-03-29T21:39:36.995Z,32.8783089,-117.24230630000001,0,20.926,0.0,0.0,0,network,,,,,,,,82,,85,building,1
2019-03-29T21:41:59.766Z,32.8783201,-117.24230859999999,0,22.116,0.0,0.0,0,network,,,,,,,,82,,86,building,1
2019-03-29T21:43:01.567Z,32.8783167,-117.24230800000001,0,21.048000000000002,0.0,0.0,0,network,,,,,,,,82,,87,building,1
2019-03-29T21:44:27.104Z,32.878317800000005,-117.24230779999999,0,21.215999999999998,0.0,0.0,0,network,,,,,,,,82,,88,building,1
2019-03-29T21:46:01.620Z,32.878324400000004,-117.24230779999999,0,21.1,0.0,0.0,0,network,,,,,,,,82,,89,building,1
2019-03-29T21:47:03.940Z,32.8783195,-117.2423081,0,21.243000000000002,0.0,0.0,0,network,,,,,,,,82,,90,building,1
2019-03-29T21:48:05.859Z,32.8783196,-117.2423081,0,21.201999999999998,0.0,0.0,0,network,,,,,,,,82,,91,building,1
2019-03-29T21:49:27.773Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,82,,92,building,1
2019-03-29T21:50:29.667Z,32.8783249,-117.24230779999999,0,21.099,0.0,0.0,0,network,,,,,,,,82,,93,building,1
2019-03-29T21:52:03.218Z,32.8783109,-117.24230449999999,0,20.783,0.0,0.0,0,network,,,,,,,,82,,94,building,1
2019-03-29T21:53:14.117Z,32.8783193,-117.2423064,0,21.070999999999998,0.0,0.0,0,network,,,,,,,,82,,95,building,1
2019-03-29T21:54:47.701Z,32.878318300000004,-117.2423067,0,20.893,0.0,0.0,0,network,,,,,,,,82,,96,building,1
2019-03-29T21:55:49.805Z,32.878318300000004,-117.2423075,0,21.215999999999998,0.0,0.0,0,network,,,,,,,,82,,97,building,1
2019-03-29T21:57:05.010Z,32.8783202,-117.2423064,0,21.112,0.0,0.0,0,network,,,,,,,,82,,98,building,1
2019-03-29T21:58:06.184Z,32.8783174,-117.24230729999998,0,21.24,0.0,0.0,0,network,,,,,,,,82,,99,building,1
2019-03-29T21:59:16.233Z,32.8783217,-117.24230759999999,0,20.94,0.0,0.0,0,network,,,,,,,,82,,100,building,1
2019-03-29T22:00:42.438Z,32.8783202,-117.2423065,0,21.142,0.0,0.0,0,network,,,,,,,,82,,101,building,1
2019-03-29T22:01:43.715Z,32.878319,-117.24230759999999,0,21.206,0.0,0.0,0,network,,,,,,,,82,,102,building,1
2019-03-29T22:02:47.762Z,32.8783179,-117.24230759999999,0,21.206999999999997,0.0,0.0,0,network,,,,,,,,82,,103,building,1
2019-03-29T22:04:18.589Z,32.8783165,-117.24230759999999,0,21.094,0.0,0.0,0,network,,,,,,,,82,,104,building,1
2019-03-29T22:05:20.159Z,32.8783159,-117.2423081,0,21.291999999999998,0.0,0.0,0,network,,,,,,,,82,,105,building,1
2019-03-29T22:07:05.677Z,32.8783218,-117.24230759999999,0,20.789,0.0,0.0,0,network,,,,,,,,82,,106,building,1
2019-03-29T22:08:07.389Z,32.8783162,-117.2423084,0,21.326999999999998,0.0,0.0,0,network,,,,,,,,82,,107,building,1
2019-03-29T22:09:01.921Z,32.8783162,-117.2423084,0,21.293000000000003,0.0,0.0,0,network,,,,,,,,81,,108,building,1
2019-03-29T22:10:23.104Z,32.878319399999995,-117.2423067,0,21.133000000000003,0.0,0.0,0,network,,,,,,,,81,,109,building,1
2019-03-29T22:11:40.408Z,32.8783093,-117.24230559999998,0,20.842,0.0,0.0,0,network,,,,,,,,81,,110,building,1
2019-03-29T22:12:41.437Z,32.878318900000004,-117.24230890000001,0,21.084,0.0,0.0,0,network,,,,,,,,81,,111,building,1
2019-03-29T22:13:25.761Z,32.878313399999996,-117.24230320000001,0,20.998,0.0,0.0,0,network,,,,,,,,80,,112,building,1
2019-03-29T22:14:44.830Z,32.878316600000005,-117.24231699999999,0,20.787,0.0,0.0,0,network,,,,,,,,80,,113,building,1
2019-03-29T22:15:45.741Z,32.8783124,-117.2423051,0,20.896,0.0,0.0,0,network,,,,,,,,80,,114,building,1
2019-03-29T22:17:11.242Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,80,,115,building,1
2019-03-29T22:18:17.646Z,32.878316600000005,-117.24231709999998,0,20.781999999999996,0.0,0.0,0,network,,,,,,,,79,,116,building,1
2019-03-29T22:19:30.557Z,32.8783212,-117.24231840000002,0,21.06,0.0,0.0,0,network,,,,,,,,79,,117,building,1
2019-03-29T22:20:31.473Z,32.8783247,-117.2423175,0,21.233,0.0,0.0,0,network,,,,,,,,79,,118,building,1
2019-03-29T22:21:32.760Z,32.878307899999996,-117.2423082,0,21.408,0.0,0.0,0,network,,,,,,,,79,,119,building,1
2019-03-29T22:23:14.036Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,79,,120,building,1
2019-03-29T22:24:35.931Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,79,,121,building,1
2019-03-29T22:26:19.041Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,79,,122,building,1
2019-03-29T22:27:20.984Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,79,,123,building,1
2019-03-29T22:29:01.433Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,79,,124,building,1
2019-03-29T22:30:02.190Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,78,,125,building,1
2019-03-29T22:31:04.041Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,78,,126,building,1
2019-03-29T22:32:05.700Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,78,,127,building,1
2019-03-29T22:33:46.698Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,78,,128,building,1
2019-03-29T22:35:07.798Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,78,,129,building,1
2019-03-29T22:36:09.844Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,78,,130,building,1
2019-03-29T22:37:22.325Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,78,,131,building,1
2019-03-29T22:39:08.722Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,78,,132,building,1
2019-03-29T22:40:43.034Z,32.8783162,-117.2423047,0,20.949,0.0,0.0,0,network,,,,,,,,78,,133,building,1
2019-03-29T22:42:18.036Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,78,,134,building,1
2019-03-29T22:43:19.279Z,32.8783098,-117.2423061,0,21.32,0.0,0.0,0,network,,,,,,,,78,,135,building,1
2019-03-29T22:44:21.372Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,78,,136,building,1
2019-03-29T22:46:00.034Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,78,,137,building,1
2019-03-29T22:47:23.544Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,78,,138,building,1
2019-03-29T22:48:24.392Z,32.878308000000004,-117.24230800000001,0,21.386,0.0,0.0,0,network,,,,,,,,78,,139,building,1
2019-03-29T22:49:53.228Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,78,,140,building,1
2019-03-29T22:50:55.498Z,32.878308000000004,-117.2423082,0,21.393,0.0,0.0,0,network,,,,,,,,78,,141,building,1
2019-03-29T22:52:38.747Z,32.878312300000005,-117.2423044,0,21.375,0.0,0.0,0,network,,,,,,,,78,,142,building,1
2019-03-29T22:54:24.201Z,32.878308000000004,-117.24230800000001,0,21.386,0.0,0.0,0,network,,,,,,,,78,,143,building,1
2019-03-29T22:55:26.366Z,32.878308000000004,-117.2423084,0,21.39,0.0,0.0,0,network,,,,,,,,78,,144,building,1
2019-03-29T22:56:27.414Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,78,,145,building,1
2019-03-29T22:58:09.316Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,78,,146,building,1
2019-03-29T22:59:11.158Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,78,,147,building,1
2019-03-29T23:00:13.042Z,32.8783112,-117.24230619999999,0,21.246,0.0,0.0,0,network,,,,,,,,78,,148,building,1
2019-03-29T23:01:14.837Z,32.8783088,-117.24230759999999,0,21.311,0.0,0.0,0,network,,,,,,,,78,,149,building,1
2019-03-29T23:02:46.239Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,78,,150,building,1
2019-03-29T23:03:47.869Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,78,,151,building,1
2019-03-29T23:04:54.667Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,78,,152,building,1
2019-03-29T23:05:56.074Z,32.878308000000004,-117.2423085,0,21.386999999999997,0.0,0.0,0,network,,,,,,,,78,,153,building,1
2019-03-29T23:06:58.123Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,78,,154,building,1
2019-03-29T23:08:09.950Z,32.8783095,-117.242309,0,20.0,0.0,0.0,0,network,,,,,,,,78,,155,building,1
